Plate,labPerson,labPeriod,gid,Low intensity (by feeling),Weird chromatogram,Splitted peaks/very bad chr,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24
1,X,1,A1_3,NO,NO,NO,20410,141602,36002,5440194,34719,1040421,95913,3659107,2609156,764176,141198,145937,52735,2489483,261505,626717,133437,1356350,227785,75001,99617,21973,254357,194052
1,X,1,A2_1,NO,NO,NO,8569,49350,34000,1734571,16577,324037,43914,1164561,829209,235299,52175,51650,35833,764854,89329,217811,56985,434075,81577,46426,48375,12235,95864,78018
1,X,1,A2_2,NO,NO,NO,8801,56564,29561,2267592,15109,422645,41737,1524762,1083817,302844,61275,52737,24614,1012248,97052,253219,50143,553774,96109,40362,47656,9817,107175,84238
1,X,1,A2_3,NO,NO,NO,9576,57616,49292,1855176,32467,349461,53414,1264757,900961,242745,72109,65544,41583,830503,108335,242085,57477,460066,83499,30502,36615,8320,84942,64821
1,X,1,A3_1,NO,NO,NO,17065,99315,27257,3470125,29814,675176,72488,2307770,1629286,495840,94139,101327,43227,1551369,170145,395174,82961,846080,142427,34891,58181,7956,161096,120365
1,X,1,A3_2,NO,NO,NO,9977,54600,37791,1929118,19002,360856,42954,1280361,924009,259474,52058,43831,21905,843805,79331,213350,38937,472473,83430,30702,42972,10259,97507,77571
1,X,1,A3_3,NO,NO,NO,32235,222497,38452,8430858,49341,1631972,145670,5678630,4021350,1201298,218539,219213,66354,3861930,405772,947300,206909,2126984,383545,104198,164090,34243,425652,320667
1,X,1,D1_1,NO,NO,NO,34647,253130,53572,10732127,55144,1619797,180816,11321024,5073743,1949690,243109,455265,100474,7899593,731898,1170118,380016,4455446,762726,155732,230627,57465,873838,584722
1,X,1,D1_2,NO,NO,NO,6654,30471,28169,1073695,10191,150414,32254,1141981,509846,189989,27127,49034,28844,766160,78301,141902,48242,456585,81433,30455,33901,10297,98761,67671
1,X,1,D1_3,NO,NO,NO,9878,52128,35867,2431381,21403,342909,46824,2556983,1108430,420436,51535,94296,38624,1667279,158463,270199,91305,916082,154897,47802,56417,10619,184319,115892
1,X,1,D2_1,NO,NO,NO,41369,257146,72519,10847476,69418,1678332,198417,11402230,5217146,2006505,253551,469895,142526,7938145,739407,1253563,376445,4385744,646626,155510,202609,40452,762889,492989
1,X,1,D2_2,NO,NO,NO,29097,172580,50339,7393509,59471,1120381,131690,7846375,3509032,1352174,170791,310446,85279,5410374,508450,838347,260091,3051893,498515,106650,153968,29391,588959,385245
1,X,1,D2_3,NO,NO,NO,27181,168051,45803,7050820,46675,1141315,133281,7421972,3474145,1380287,186518,315090,107671,5300279,540061,902500,268172,3048409,480662,121613,159002,40465,535399,372399
1,X,1,D3_1,NO,NO,NO,29940,195198,48626,8670563,49330,1299020,144523,9328371,4107688,1588996,190233,359138,90037,6539245,606851,964547,308739,3721586,658415,119084,200530,55791,761255,504526
1,X,1,D3_2,NO,NO,YES,12372,69050,74699,2765223,27761,368879,88952,2982079,1224860,494628,49029,116384,71777,1920937,195140,330044,110549,1042450,176266,42917,55815,24026,193431,121378
1,X,1,D3_3,NO,NO,NO,19829,105887,45665,4305685,47129,636324,89156,4504126,2057195,760305,112464,178248,59876,3077459,281120,482132,141453,1721959,280728,71223,92675,17117,341402,226981
1,X,1,H1_1,NO,NO,NO,9696,55309,23364,1909508,22874,454225,75303,2276997,1465363,578599,116002,167663,54905,2389156,304286,566291,159088,1862360,198955,65627,76905,22246,237753,174070
1,X,1,H1_2,NO,NO,NO,23686,178425,36232,6196695,62540,1545398,220842,8039932,4960782,2102423,337918,610912,137669,8842157,1073803,1882075,553351,6914859,736962,204912,300610,84031,889548,636515
1,X,1,H1_3,NO,NO,NO,13917,77150,17977,3101451,31730,814219,115246,4732677,3044152,1262675,205318,350108,90217,5804973,692836,1337393,355454,4829260,496864,107849,178117,50093,593730,430162
1,X,1,H3_1,NO,NO,NO,8634,5625,12935,554097,8427,135864,25986,932497,571499,226460,38990,41051,27008,1031174,106240,163065,37643,617839,81296,18018,28947,6302,75102,79807
1,X,1,H3_2,NO,NO,NO,14671,67153,19263,3155903,34654,838430,95411,5740276,3368206,1451071,203077,264437,87055,6715093,719986,1030449,257060,4096884,601966,118410,193389,47599,533519,521987
1,X,1,H3_3,NO,NO,NO,4320,18454,14351,791662,14453,202249,32410,1382503,812491,347704,51209,70446,36910,1548517,174991,261278,66451,953490,143392,45058,57085,13417,132359,137634
1,X,1,I2_1,NO,NO,NO,4971,22956,10997,543953,10146,174497,24670,1115870,503962,359604,48413,54565,24585,1265985,187481,284705,79700,1279550,249771,37440,71171,30374,262101,320243
1,X,1,I2_2,NO,NO,NO,13780,102538,26124,2615471,38791,784051,108162,4277259,1866026,1335126,147548,210335,71972,3802589,538352,717588,188263,2683218,449133,66526,112331,28666,403414,484146
1,X,1,I2_3,NO,NO,NO,10244,71846,26901,1864517,36947,542996,82793,3135546,1330692,955029,123789,149811,61922,2769303,399023,539059,143946,2054696,379500,65967,101869,24747,349450,424752
1,X,1,I3_1,NO,NO,NO,10187,51997,31326,1074022,27619,309301,63416,1772228,765680,536217,67785,83420,47234,1498881,210514,292096,69435,1086264,195690,29182,53852,13450,179172,223212
1,X,1,I3_2,YES,NO,YES,7150,39360,41604,999426,27463,271781,59951,1699122,675964,502092,43057,67792,51564,1377359,187212,260211,59275,985355,170782,32498,46991,19030,160359,174532
1,X,1,I3_3,NO,NO,NO,10304,61804,15428,1597733,19733,468773,57289,2660758,1127729,811122,88158,109694,35122,2320957,318455,420441,110391,1658408,311660,53736,85748,26900,276739,338119
1,X,1,J1_1,NO,NO,NO,5843,25797,33704,1528780,20597,330458,31749,1418577,788780,367509,64069,57294,36513,1193572,146440,215778,67513,738279,165177,39117,45589,14127,141926,123896
1,X,1,J1_2,NO,NO,NO,4671,15841,14912,791039,16120,202505,23648,963100,555390,277630,46776,57581,32818,1027548,159509,237749,84158,870057,206940,42847,58070,26816,207864,186797
1,X,1,J1_3,NO,NO,NO,16107,61863,37560,3624170,37812,794919,61444,3279101,1850540,890206,131973,130448,52262,2835053,341915,474231,133475,1708490,361725,44152,84584,21254,314316,277012
1,X,1,J2_1,NO,NO,NO,9073,37072,16819,2178371,22370,483187,40201,1989688,1122746,541951,88018,93753,36252,1742203,234804,322430,112306,1080824,242119,50715,64574,16225,207679,184018
1,X,1,J2_2,NO,NO,NO,20833,97579,34371,5000809,45170,1114488,93167,4657460,2557886,1264308,187874,208902,79738,3997757,507866,702288,206611,2399013,473264,72085,121978,21730,406113,359383
1,X,1,J2_3,NO,NO,NO,10478,33348,34368,1480674,30243,331391,39605,1360886,769853,354356,70053,68141,39218,1165297,151749,214249,58926,704733,138607,21763,33659,8959,124808,110932
1,X,1,J3_1,YES,YES,NO,9557,36106,49053,1650621,27406,357297,47930,1537144,856187,384254,82566,72350,51029,1265910,157057,234988,66862,778701,155368,22665,37026,10645,144979,118443
1,X,1,J3_2,NO,NO,NO,31462,139025,50411,7319678,59159,1618497,129288,6726968,3781675,1793529,267115,288593,97510,5837185,723428,1018608,286356,3564849,696397,95627,169272,42195,610404,517976
1,X,1,J3_3,NO,NO,NO,18336,66818,81872,3745407,48195,804574,79743,3490652,1931700,893485,154919,138531,78518,2906844,347624,500653,138209,1775986,372664,50240,88804,21589,332332,289855
1,X,1,B1_1,NO,NO,NO,19945,149740,36710,5484488,49160,1871163,116934,5537729,3615001,2089079,319368,249177,88877,4790274,765370,1310419,311324,3632106,796618,126204,214722,72226,589764,759011
1,X,1,B1_2,NO,NO,NO,28171,163813,43208,5843023,65394,1874867,135844,5498389,3613316,1965462,295761,254118,105585,4500470,686864,1257923,274008,3288537,579642,81905,144227,46667,463777,542388
1,X,1,B1_3,NO,NO,NO,18499,136326,43527,4625442,54501,1496465,106991,4224875,2739328,1542334,243435,196748,80861,3397779,540957,993685,224544,2535039,501820,95370,145832,41992,405991,510103
1,X,1,B2_1,YES,YES,NO,5614,20991,17397,546843,11869,176869,19876,503700,327168,171341,36749,22716,14476,387295,65693,123568,31774,305075,60177,19415,22249,6070,49311,60678
1,X,1,B2_2,NO,NO,NO,5622,42013,17914,1399933,19956,452516,29353,1272357,817270,467098,67552,47249,20358,984315,154217,281979,61629,742674,156409,35675,50539,16340,125024,161182
1,X,1,B2_3,NO,NO,NO,3138,13786,10456,394832,10042,137061,15720,404788,266697,149931,28345,23974,11443,377480,67813,142057,35434,439403,96236,17331,32165,13534,101491,131676
1,X,1,stand_01,NO,NO,NO,8496,34131,18954,958311,20359,245148,38328,904272,500294,246191,43629,70187,27914,733810,108659,166136,51793,503446,82395,19418,27524,6658,81039,72741
1,X,1,stand_02,NO,NO,NO,4279,17913,18339,638626,14672,159463,21818,622296,337075,170286,28435,44581,26923,498617,87616,138679,52871,373943,75396,36139,30484,9940,69882,62556
1,X,1,stand_03,NO,NO,NO,17189,96613,30288,3062465,52164,801234,95333,2955530,1619702,815422,123092,213581,59275,2468362,356859,527896,177967,1708750,293936,84964,101397,27427,277884,254912
1,X,1,stand_04,NO,NO,NO,11392,60364,24986,1929084,27016,488338,68118,1850121,1015200,496058,85453,130911,49095,1522665,213444,341560,106423,1086129,176517,35271,58149,8811,186399,164139
1,X,1,stand_05,NO,NO,NO,23256,134278,28641,4643831,40315,1189738,133442,4602516,2485847,1250684,180172,305690,70838,3895755,516563,774410,250199,2663945,428192,76790,137134,35161,423204,387248
1,X,1,stand_06,NO,NO,NO,7419,43352,18658,1526497,18757,384485,45052,1472294,821606,395932,58386,88773,28829,1227694,164681,268538,88451,878423,148850,50351,58052,16394,149206,136574
1,X,1,stand_07,NO,NO,NO,11394,56714,14654,1882453,29679,481490,62149,1761887,968112,481076,77796,134336,43784,1437611,220190,332453,119626,978248,169913,54967,63695,16570,158506,147382
1,X,1,stand_08,NO,NO,NO,5159,17574,6643,462239,4811,114876,16142,418888,230002,112401,17935,31981,12299,325744,55701,87703,42364,236012,48513,28179,21114,8036,40362,41206
1,X,1,stand_09,NO,NO,NO,18108,112092,22838,3661294,50661,941359,109109,3457224,1935444,946517,141320,242782,57523,2878614,410656,604635,205981,1962727,335977,87818,117819,32245,311225,296568
1,X,1,stand_10,NO,NO,NO,7811,34897,20763,1213060,21199,306471,39417,1180417,644335,316393,50978,76417,28547,968484,129918,206662,59576,675613,101788,26596,38431,9986,107326,95925
1,X,1,stand_11,NO,NO,NO,17846,90141,19268,3057979,33632,787254,94886,2955075,1597358,805373,121064,207852,55884,2467780,340620,523321,166898,1722497,275009,56617,93760,17253,283931,248469
1,X,1,stand_12,NO,NO,NO,4565,12849,10204,252163,9609,63005,22817,250459,134675,71449,11534,24114,14347,190267,36043,56106,23177,144284,27742,13935,9641,3173,26012,26599
1,X,1,stand_13,NO,NO,NO,4914,22207,16261,517601,11680,127805,25180,504220,273612,134376,22629,38811,15497,402716,53615,92350,30894,294645,53113,28192,26637,10727,54913,56015
1,X,1,stand_14,NO,NO,NO,4872,21013,16361,577296,10720,145066,30737,567709,307758,148146,32410,45163,20915,453130,68844,112993,39071,326791,53024,18137,19049,6111,51768,54161
1,X,1,E1_1,NO,NO,NO,5075,27348,9824,1152936,13436,265739,30326,1447306,822394,359477,55253,68240,35966,1301501,166632,337923,80073,1213940,211806,38352,71181,22791,286150,249743
1,X,1,E1_2,YES,YES,NO,9667,42713,41620,1479930,27514,323574,52416,1657229,930952,357963,97907,81651,52381,1228104,153028,276397,67243,718061,101757,31753,34186,10405,102515,87103
1,X,1,E1_3,NO,NO,NO,4592,25703,13097,1172831,11530,288606,28302,1730631,1013871,438333,65922,64905,29194,1664586,192053,378411,87081,1321370,215439,47694,79773,28279,256483,234030
1,X,1,E2_1,NO,NO,NO,12834,60216,31950,2066553,34712,454173,55781,2295869,1335573,536414,92680,91281,40539,1777020,200782,365101,68657,1082849,148008,30694,43772,10251,167266,136823
1,X,1,E2_2,NO,NO,NO,24291,166653,39009,6523367,57495,1458641,147254,7144082,4212298,1747654,260497,295415,95096,5795152,663632,1205239,280183,3636810,568659,126833,189550,39387,595108,505160
1,X,1,E2_3,NO,NO,NO,24368,145638,40021,5718683,55180,1276078,134386,6544134,3631668,1569337,220384,279310,103188,5183206,603746,1060048,236387,3228607,463646,100635,136538,29111,489980,392662
1,X,1,E3_1,YES,NO,YES,8320,37556,26384,1453421,15094,311280,40286,1667639,916066,393112,38593,59398,28832,1272764,128370,243697,45366,757346,99864,19648,28178,6204,113858,86013
1,X,1,E3_2,NO,NO,NO,23241,156546,40556,6043434,85472,1353117,140140,6724740,3998938,1647967,262258,280888,97994,5435445,642575,1157417,259784,3402736,535375,124848,158287,32076,557225,466498
1,X,1,E3_3,NO,NO,NO,13044,78909,20189,3342594,24083,729973,64075,3815825,2073821,915061,115598,139366,41395,2999844,328046,573908,124845,1841889,268478,53435,78350,17741,279528,225095
1,X,1,G1_1,NO,NO,NO,11058,50692,27746,1695225,41822,448003,66449,2880117,1773078,739662,109360,143394,59548,3350655,353284,524959,125220,2015938,255503,44580,79046,16466,236626,232406
1,X,1,G1_2,NO,NO,YES,12701,40502,29660,1575782,29596,402767,62532,2811826,1664803,715260,81124,127843,61538,3278000,327963,480219,92490,1959502,232991,19718,56641,13796,231758,216150
1,X,1,G1_3,NO,NO,NO,7322,40809,13347,1995850,23633,581487,66012,4342938,2686042,1152783,162567,225436,55679,6076060,638132,940290,226148,4100861,564282,71764,158982,40445,505997,488502
1,X,1,G2_1,NO,NO,NO,6662,21732,7655,853285,11068,225137,25623,1506848,884635,385229,52997,73940,21397,1758168,196220,270436,74639,1065466,158363,49186,56340,15704,139672,141508
1,X,1,G2_2,NO,NO,NO,21024,106395,22676,4588754,52522,1248867,146075,8037938,4948955,2086213,302043,407653,99251,9663770,1019061,1402855,347638,5709668,770726,116044,222344,54060,674844,662245
1,X,1,G2_3,NO,NO,NO,23561,102549,57975,4251800,73721,1094063,153943,7138247,4359468,1764078,271550,334919,125383,7686981,781708,1113835,239000,3668426,433950,70810,117319,20652,327425,299079
1,X,1,G3_1,YES,NO,YES,7381,28926,33207,862864,23678,197204,59122,1174589,677874,301437,31891,98601,43963,1229770,150231,274830,74120,996495,96702,20378,31465,13666,132190,87826
1,X,1,G3_2,NO,NO,NO,6153,17381,16479,425171,12078,97730,32175,553370,340597,140047,29237,47164,24027,573862,74172,142619,45043,482436,52263,28999,22926,8517,63861,48669
1,X,1,G3_3,NO,NO,NO,7799,39486,22914,1262578,21491,306014,54687,1611493,1024902,418899,75256,120261,40855,1747942,212530,401403,117450,1395540,147629,59164,64310,19830,179726,136773
1,X,1,F1_1,NO,NO,NO,9196,22832,27993,1137298,18832,260081,29822,1224477,865616,339674,73694,55716,37259,1310150,168801,310791,57308,1014995,117924,40449,44599,13166,130236,110651
1,X,1,F1_2,NO,NO,NO,27444,100726,37391,6493956,52060,1503527,118819,6696413,4747125,1958970,323949,302437,111137,7125133,922109,1591053,334346,5154722,616855,134004,192764,49278,626912,528094
1,X,1,F1_3,NO,NO,NO,13197,33642,13895,2141376,27475,494885,37274,2199576,1573768,656703,110405,91096,29910,2369872,316763,535754,115174,1782438,241806,62311,82792,23035,242485,215220
1,X,1,F2_1,YES,YES,NO,11724,27539,40660,1395879,25489,327418,42570,1501797,1050625,385974,129498,88383,58103,1585403,220711,397379,86243,1220982,146678,39427,43256,12861,152383,125437
1,X,1,F2_2,YES,NO,YES,13067,39338,62386,1503231,53495,354827,58583,1677133,1118365,506877,72574,102814,88805,1706859,269158,443085,105717,1306458,175618,52129,49616,21236,165989,138480
1,X,1,F2_3,NO,NO,NO,39675,136086,47957,9015154,80747,2124934,177398,9407280,6857683,2832621,499334,446982,162933,10502763,1402698,2386105,517739,7883674,984351,213246,312105,84085,983123,867485
1,X,1,F3_1,NO,NO,NO,20126,48552,25710,3265951,43761,730527,62533,3429786,2397592,989212,167562,147370,54974,3643445,481820,836922,180839,2758210,372278,84719,124060,26237,392166,336443
1,X,1,F3_2,NO,NO,NO,30419,102522,51236,6694781,90941,1535341,137008,7011800,5118358,2082879,366116,317207,129251,7786231,1038887,1800963,367878,5888853,736700,147166,221657,45564,763903,656518
1,X,1,F3_3,NO,NO,NO,20341,65578,36617,3524442,50104,794812,76433,3639323,2588314,959514,239536,171467,73557,3809130,489753,886045,193010,2746949,304507,81633,97911,25093,322449,257420
2,Y,1,C1_1,NO,NO,NO,18904,103289,39346,4899565,47882,888591,69714,3748701,2015444,750674,112363,120605,51850,2581496,303806,630643,143232,1790279,270718,75778,80914,22895,329113,211985
2,Y,1,C1_2,NO,NO,NO,20686,113319,33293,5846202,53785,1064764,75091,4460853,2440310,897418,128044,129878,53395,3074847,339466,772313,152472,2262352,343209,57366,95771,28157,461756,301272
2,Y,1,C1_3,NO,NO,NO,22444,123284,44806,5896585,50384,1084478,73514,4528173,2463831,902948,127991,130598,55518,3168704,343188,742328,155096,2141555,293704,74451,82876,15525,373433,234990
2,Y,1,C2_1,NO,NO,NO,25266,135120,44696,6695090,59771,1213181,79432,5120667,2785710,1022998,144253,137249,56129,3499826,379608,888488,166536,2589655,394096,72421,111947,33334,539680,353377
2,Y,1,C2_2,NO,NO,NO,24720,126122,46385,6140128,41584,1114346,81965,4551727,2549860,903933,131386,133101,53353,3138976,329396,727056,135072,2071776,277611,50652,71483,14199,351303,226046
2,Y,1,C2_3,NO,NO,NO,26372,156128,44715,7903156,42478,1449982,97379,5861286,3318603,1180833,170467,171335,70591,4038790,442248,1014932,204819,2831788,414533,85461,118884,37917,530813,349346
2,Y,1,C3_1,NO,NO,NO,22351,141975,50070,7033823,33180,1267812,84023,5271351,3001127,1029429,150451,150931,76390,3702110,387498,874090,173954,2436405,327433,91443,96867,21304,407952,261686
2,Y,1,C3_2,NO,NO,NO,17612,111559,33615,5367362,35657,976729,73953,4005233,2250643,787206,117418,124048,51974,2781350,296893,683792,129016,1913365,259455,52837,70183,11356,339754,216931
2,Y,1,C3_3,NO,NO,NO,15738,87534,25992,4242157,26279,771539,53160,3177344,1778613,626893,93806,95278,41336,2187399,237503,549422,112453,1522817,221360,69930,73347,22977,281338,187045
2,Y,1,A1_1,NO,NO,NO,20600,179751,33337,5892187,40792,1165124,118615,4199331,2780212,883589,140305,186260,64505,2868764,296021,643044,148648,1496127,232462,66489,93474,13259,261564,183501
2,Y,1,A1_2,NO,NO,NO,22945,191133,29473,6096781,36036,1215210,121967,4570371,2874961,951409,141352,189051,52864,3116158,299182,647863,147855,1659254,248570,61874,102373,19974,312889,206148
2,Y,1,A1_3,NO,YES,NO,27970,231261,46964,6822492,59798,1357652,143863,4798763,3236627,991772,166863,207508,72813,3289404,323240,699889,149817,1625942,229930,63938,87486,13316,258934,177108
2,Y,1,A2_1,NO,NO,NO,27586,190814,33074,5944246,50007,1176725,124791,4183389,2774924,886056,141167,181954,56180,2827145,288345,628663,135773,1497326,234470,51584,90109,17374,273573,187176
2,Y,1,A2_2,NO,NO,NO,29522,254167,44425,8224753,69268,1631070,171487,5904565,3891192,1244830,197103,269384,92703,4042489,424062,898486,209765,2092989,319687,95744,128481,20673,356166,247476
2,Y,1,A2_3,NO,NO,NO,28014,205426,47599,6160798,63650,1220730,140447,4402005,2896070,922995,150502,207573,75602,2988436,316068,650370,148654,1507180,223224,55030,84725,11051,250992,171056
2,Y,1,A3_1,NO,NO,NO,21227,149395,21167,5004100,31387,983076,94135,3544851,2314276,746012,117557,140502,41791,2373223,235448,519281,108057,1269806,200772,42477,77043,13851,240303,165471
2,Y,1,A3_2,NO,NO,NO,30954,247415,49438,7979889,46875,1579288,162624,5591676,3792521,1177058,194739,241707,79801,3846966,385762,846924,182474,1968917,293268,83344,122691,21232,336831,231720
2,Y,1,A3_3,NO,NO,NO,15202,116476,27525,3469087,29828,700041,82951,2532433,1634856,535414,91127,134462,54544,1733090,210673,401369,107447,896470,138757,52193,59427,10366,157076,104152
2,Y,1,D1_1,NO,NO,NO,22331,182605,47086,6151364,62053,990816,140858,6906664,2853120,1205716,135483,335243,95710,5024649,470988,642616,230550,2622736,377167,78428,103139,19930,409809,257923
2,Y,1,D1_2,NO,NO,NO,25517,185108,42116,6451259,45395,1040266,140713,7053672,2963731,1235164,144923,344215,93291,4983538,479684,711518,251457,2707728,396779,99434,130434,31757,451601,286564
2,Y,1,D1_3,NO,NO,NO,19636,161933,34630,5860235,48310,939849,118472,6525913,2700818,1138955,122935,302966,78046,4645828,435436,624259,224540,2496882,363300,90785,111162,22514,413411,251980
2,Y,1,D2_1,NO,NO,NO,23361,142247,32884,4928610,51000,786875,105537,5289071,2239040,928426,107159,253122,63229,3682521,358292,522034,188920,1960039,297012,73529,91803,20993,324493,204338
2,Y,1,D2_2,NO,NO,NO,21453,163742,45234,5700427,43878,921051,123862,6372104,2616881,1104881,125505,305112,79478,4601198,427290,590940,213210,2447668,349238,68542,101334,16644,396806,240706
2,Y,1,D2_3,NO,NO,NO,19619,154463,31488,5553741,50287,884642,113890,5977616,2529296,1054396,123388,279044,74628,4160885,399510,591644,213747,2282755,345633,76473,107927,20521,400346,249572
2,Y,1,D3_1,NO,NO,NO,18121,150762,33843,5779888,50654,915751,110943,6456451,2696042,1115412,112425,279593,69086,4595783,404516,600099,192035,2439375,342143,63348,97886,17363,405958,251277
2,Y,1,D3_2,NO,NO,NO,18046,108130,30316,4420134,49731,679279,83949,4856228,2035220,834298,95333,202679,52965,3384887,322711,484107,158058,1901694,307679,57841,91397,18500,358276,226451
2,Y,1,D3_3,NO,NO,NO,23230,184345,36369,6609497,46103,1062386,135349,7095763,3037895,1246756,139976,328102,74204,4960252,455429,690414,234049,2644454,395263,91816,119609,24946,445468,279799
2,Y,1,H1_1,NO,NO,NO,17426,121565,29351,3266266,51930,864736,150949,4429236,2532490,1137687,174092,407833,87595,4850405,592145,938994,315197,3567073,340395,92911,122024,27017,406636,263807
2,Y,1,H1_2,NO,NO,NO,13895,135296,29189,3814887,52820,1004285,163208,5165796,2965927,1352738,194620,461418,106104,5652154,709451,1132792,381322,4300193,438142,126337,160617,46903,527104,349608
2,Y,1,H1_3,NO,NO,NO,13906,91726,17300,2415394,36575,635746,104652,3146211,1826114,819390,122290,283415,58556,3370987,424102,684725,234034,2526890,252906,85443,104175,31537,300555,201468
2,Y,1,H3_1,NO,NO,NO,11548,75025,16232,2707161,27372,741217,94426,4854062,2718646,1226604,148283,259772,62119,5613447,565764,712944,179778,3072352,374957,37401,91722,14919,325485,301521
2,Y,1,H3_2,NO,NO,NO,14909,71662,18268,2584831,38126,703669,86505,4611946,2479438,1161575,142858,236295,57862,5102930,540625,709089,179816,3003425,411637,54731,110956,25870,376869,341312
2,Y,1,H3_3,NO,NO,NO,8505,38899,12963,1459204,19714,389291,51532,2561475,1352590,635714,81527,135165,35888,2767662,305673,405026,120250,1641485,229680,42271,68967,13316,216475,193021
2,Y,1,I2_1,NO,NO,NO,9629,90368,18875,2385946,31089,719672,95212,4178610,1648063,1263751,126522,209295,67802,3754140,530448,647818,201558,2620922,438444,86749,121744,35360,390062,437524
2,Y,1,I2_2,NO,NO,NO,15674,96204,24402,2217109,42048,686572,96815,3678645,1548588,1134164,123600,200019,63617,3336862,485296,544073,170677,2121376,343637,70374,88021,23288,265507,302562
2,Y,1,I2_3,NO,NO,NO,13165,106567,18522,2830260,35035,841865,102923,4943918,1976827,1508152,146895,223270,62492,4444591,618805,765546,215456,3253223,570716,91393,152511,46656,519902,595030
2,Y,1,I3_1,NO,NO,NO,12144,98969,19384,2363789,39514,718173,101516,3919701,1594469,1205616,128483,195662,59308,3378820,489003,604985,171473,2365147,418257,66081,107934,28517,354449,419527
2,Y,1,I3_2,NO,NO,NO,15315,116756,23637,2950658,53129,874209,114750,5025551,2058497,1530750,155989,230682,72644,4403561,634846,771899,211228,3125050,559417,87646,144664,37069,482489,560452
2,Y,1,I3_3,NO,NO,NO,12856,112702,19932,2831598,33993,843201,109351,4894723,1930848,1477262,147570,230165,75977,4312308,594868,733973,208129,2993182,515683,83997,132422,39973,448718,515233
2,Y,1,J1_1,NO,NO,NO,23481,110647,29988,5836687,53847,1334950,107560,5556902,2916153,1519514,202091,267432,78687,4943180,619770,764049,254312,2889413,565860,92089,142275,33495,481194,395548
2,Y,1,J1_2,NO,NO,NO,14293,62864,19804,3606623,27549,807722,65447,3473486,1770978,923923,115498,162637,58146,3076347,379751,485553,155401,1782380,319726,57191,83135,17858,286376,222436
2,Y,1,J1_3,NO,NO,NO,21663,99413,41452,5124921,47957,1173120,96178,4888338,2607986,1330800,181139,236231,84299,4476264,553901,628670,202025,2451865,456065,64180,101069,18689,360370,297660
2,Y,1,J2_1,NO,NO,NO,13553,59400,19334,3097594,25497,703297,54948,2936167,1566684,793647,104833,133978,41179,2652037,316316,386048,119525,1485409,278276,40510,67340,12545,228915,195186
2,Y,1,J2_2,NO,NO,NO,23049,101312,29003,5572338,68311,1274032,102926,5257896,2773000,1448787,194937,253878,77254,4638510,607469,747393,248645,2754960,566909,95556,145465,37204,469002,399551
2,Y,1,J2_3,NO,NO,NO,18705,77813,21915,4164291,41098,943732,74065,3849007,2044156,1055561,139962,178442,49471,3370212,420705,522418,169630,1979866,396282,56393,100324,26442,334412,280638
